decada,G,NC-17,NR,PG,PG-13,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y,TV-Y7,TV-Y7-FV,UR,Unknown,Total
1920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1940,0,0,0,0,0,0,7,0,2,6,0,0,0,0,0,15
1950,2,0,1,0,1,0,5,1,0,1,0,0,0,0,0,11
1960,3,0,0,0,2,4,7,1,2,6,0,0,0,0,0,25
1970,4,0,1,13,1,11,15,1,12,11,0,0,0,1,0,70
1980,2,0,3,16,10,21,46,0,16,13,0,2,0,0,0,129
1990,5,0,2,18,55,75,52,9,32,17,2,7,0,0,0,274
2000,14,0,5,69,144,137,217,6,113,73,6,25,0,1,0,810
2010,10,3,68,145,242,482,1485,136,2291,611,214,226,6,1,7,5927
2020,1,0,0,26,35,69,325,66,739,125,85,74,0,0,0,1545
Total,41,3,80,287,490,799,2160,220,3207,863,307,334,6,3,7,8807
