decada,rating,cantidad_titulos
1920,TV-14,1
1940,TV-14,7
1940,TV-PG,6
1940,TV-MA,2
1950,TV-14,5
1950,G,2
1950,NR,1
1950,PG-13,1
1950,TV-G,1
1950,TV-PG,1
1960,TV-14,7
1960,TV-PG,6
1960,R,4
1960,G,3
1960,PG-13,2
1960,TV-MA,2
1960,TV-G,1
1970,TV-14,15
1970,PG,13
1970,TV-MA,12
1970,R,11
1970,TV-PG,11
1970,G,4
1970,NR,1
1970,PG-13,1
1970,TV-G,1
1970,UR,1
1980,TV-14,46
1980,R,21
1980,PG,16
1980,TV-MA,16
1980,TV-PG,13
1980,PG-13,10
1980,NR,3
1980,G,2
1980,TV-Y7,2
1990,R,75
1990,PG-13,55
1990,TV-14,52
1990,TV-MA,32
1990,PG,18
1990,TV-PG,17
1990,TV-G,9
1990,TV-Y7,7
1990,G,5
1990,NR,2
1990,TV-Y,2
2000,TV-14,217
2000,PG-13,144
2000,R,137
2000,TV-MA,113
2000,TV-PG,73
2000,PG,69
2000,TV-Y7,25
2000,G,14
2000,TV-G,6
2000,TV-Y,6
2000,NR,5
2000,UR,1
2010,TV-MA,2291
2010,TV-14,1485
2010,TV-PG,611
2010,R,482
2010,PG-13,242
2010,TV-Y7,226
2010,TV-Y,214
2010,PG,145
2010,TV-G,136
2010,NR,68
2010,G,10
2010,Unknown,7
2010,TV-Y7-FV,6
2010,NC-17,3
2010,UR,1
2020,TV-MA,739
2020,TV-14,325
2020,TV-PG,125
2020,TV-Y,85
2020,TV-Y7,74
2020,R,69
2020,TV-G,66
2020,PG-13,35
2020,PG,26
2020,G,1
